,acc_05-dims
112,0.020074052369409446
113,0.008545324
114,0.011091872885645029
115,0.013137636184438348
116,0.010388641751684824
117,0.002312139
118,0.000921659
119,0.016153006046722252
120,0.013622439466183639
121,0.004155457
122,0.013388029088196904
123,0.013622439466183639
124,0.009685411
125,0.027649769585253458
126,0.022135798193974588
127,0.096774194
128,0.022119815668202765
129,0.067515516
130,0.1885192189872406
131,0.059066087744066485
132,0.089651315
133,0.025588023760688316
134,0.048006179909965106
135,0.025806451612903226
136,0.036195093
137,0.034133348
138,0.03113396
139,0.048725394
140,0.060238139634000154
141,0.054676220665405825
142,0.061564689
143,0.11892597426813349
144,0.062518313
145,0.13126981167257132
146,0.035023041
147,0.066455342
148,0.10429130816973442
149,0.027681735
150,0.025369595908473395
151,0.004608295
152,0.037569591
153,0.036663914
154,0.032508457
155,0.004608295
156,0.010138248847926268
157,0.010372659225913001
158,0.01866759
159,0.036179111
160,0.004842705
161,0.011310301
162,0.007373272
163,0.011059907834101382
164,0.016589861751152075
165,0.015668202764976956
166,0.014746543778801843
167,0.018667590101489037
168,0.016387416424708985
169,0.057894035854132816
170,0.027447324258810368
171,0.059705388774939396
172,0.048661463466609836
173,0.062470366
174,0.081654724
175,0.10975733198369782
176,0.083668522
177,0.09154258
178,0.140438454
179,0.11488239524786233
180,0.091558563
181,0.11297514717242481
182,0.086433499
183,0.10883567299752273
184,0.129644922
185,0.082746863
186,0.07443595
187,0.15248395088037078
188,0.13993766814948988
189,0.13370448309847902
190,0.170837218
191,0.11530326842652032
192,0.001843318
193,0.002999387
194,0.005998775
195,0.010138248847926268
196,0.003921046
197,0.013388029088196904
198,0.005529954
199,0.005077116
200,0.008294931
201,0.013824884792626727
202,0.01084148
203,0.007623665
204,0.008076503
205,0.000921659
206,0.017996324
207,0.03391492
208,0.018902000479475774
209,0.041256226525665275
210,0.009919821
211,0.020292480221624356
212,0.034133348
213,0.058549319410777546
214,0.018902000479475774
215,0.041272209051437095
216,0.071031672
217,0.070829227
218,0.038992035
219,0.054223382
220,0.030212301217335712
221,0.029088196904717506
222,0.032055619
223,0
224,0.002764977
225,0.011310300737859939
226,0.009451
227,0.006920434
228,0.013388029088196904
229,0.008294931
230,0.004608295
231,0.018449162249274127
232,0.013153618710210169
233,0.001156069
234,0.018214752
235,0.008294931
236,0.008529341
237,0.007373272
238,0.011997549346048322
239,0.003686636
240,0.005311526
241,0.017293092885112278
242,0.003686636
243,0.009451
244,0.016605844
245,0.010404624277456646
246,0.011981566820276499
247,0.004608295
248,0.017511521
249,0.011544711115846673
250,0.004842705
251,0.014528115926586932
252,0.003233798
253,0.011059907834101382
254,0.006920434
255,0.008076503
256,0.006451613
257,0.006702006
258,0.006451613
259,0.008076503
260,0.005529954
261,0
262,0.004842705
263,0.003468208
264,0.013824884792626729
265,0.001843318
266,0.000921659
267,0.004842705
268,0.006451613
269,0.009232572
270,0.000921659
271,0.008092486
272,0.004389867
273,0.004389867
274,0.010857462507658292
275,0.007373272
276,0.013388029088196904
277,0.005529954
278,0.002764977
279,0.005529954
280,0.020292480221624352
281,0.004842705
282,0.015449775
283,0.015231347060547134
284,0.001843318
285,0.006686023
286,0.002764977
287,0.016137024
288,0.016153006046722252
289,0.019370821
290,0.007373272
291,0.042396313
292,0.032258065
293,0.014528115926586932
294,0.010154231
295,0.007607682
296,0.045411683
297,0.024884793
298,0.02168296
299,0.042630723742042034
300,0.041474654377880185
301,0.027884179963240184
302,0.028118590341226924
303,0.016605844
304,0.034117365
305,0.015668203
306,0.001156069
307,0.006451613
308,0.017745931115313925
309,0.022119815668202765
310,0.044490024240164086
311,0.021432567060014385
312,0.011528728590074852
313,0.011981566820276499
314,0.012215977198263232
315,0.011059907834101382
316,0.003686636
317,0.010372659225913001
318,0.058986175
319,0.029727498
320,0.005529954
321,0.021198156682027652
322,0.022823046802162968
323,0.016605844276923895
324,0.014544098452358753
325,0.017543485788870834
326,0.022119815668202765
327,0.015215364534775311
328,0.017511521
329,0.007842093
330,0.029493088
331,0.007154844
332,0.017996324
333,0.017511520737327188
334,0.008310913
335,0.012450387576249968
336,0.025401561
337,0.023041474654377878
338,0.016856237180682455
339,0.011763138968061585
340,0.010138248847926268
341,0.03229003
342,0.060142244
343,0.053051331
344,0.005529954
345,0.036663914
346,0
347,0.002764977
348,0.031805226285927385
349,0.047473429
